text,label
"i. how shall the burial rite be read? the solemn song be sung? the requiem for the loveliest dead, that ever died so young? ii. her friends are gazing on her, and on her gaudy bier, and weep! — oh! to dishonor dead beauty with a tear! iii. they loved her for her wealth — and they hated her for her pride — but she grew in feeble health, and they love her — that she died. iv. they tell me (while they speak of her “costly broider’d pall”) that my voice is growing weak — that i should not sing at all — v. or that my tone should be tun’d to such solemn song so mournfully — so mournfully, that the dead may feel no wrong. vi. but she is gone above, with young hope at her side, and i am drunk with love of the dead, who is my bride. — vii. of the dead — dead who lies all perfum’d there, with the death upon her eyes, and the life upon her hair. viii. thus on the coffin loud and long i strike — the murmur sent through the grey chambers to my song, shall be the accompaniment. ix. thou died’st in thy life’s june — but thou did’st not die too fair: thou did’st not die too soon, nor with too calm an air. x. from more than fiends on earth, thy life and love are riven, to join the untainted mirth of more than thrones in heaven — xi. therefore, to thee this night i will no requiem raise, but waft thee on thy flight, with a pæan of old days.",1
"o! nothing earthly save the ray [thrown back from flowers] of beauty’s eye, as in those gardens where the day springs from the gems of circassy — o! nothing earthly save the thrill of melody in woodland rill — or [music of the passion-hearted] joy’s voice so peacefully departed that like the murmur in the shell, its echo dwelleth and will dwell — with nothing of the dross of ours — yet all the beauty — all the flowers that list our love, and deck our bowers adorn yon world afar, afar — the wandering star — ’twas a sweet time for nesace — for there her world lay lolling on the golden air, near four bright suns — a temporary rest — a garden-spot in desert of the blest. away — away —’mid seas of rays that roll empyrean splendor o’er th’ unchained soul — the soul that scarce [the billows are so dense] can struggle to its destin’d eminence — to distant spheres, from time to time, she rode, and late to ours, the favour’d one of god — but, now, the ruler of an anchor’d realm, she throws aside the sceptre — leaves the helm, and, amid incense, and high spiritual hymns, laves in quadruple light her angel limbs. now happiest, loveliest in yon lovely earth, whence sprang the “idea of beauty” into birth. [falling in wreaths thro’ many a startled star, like woman’s hair ‘mid pearls, until, afar, it lit on hills archaian, and there dwelt] she look’d into infinity — and knelt. rich clouds, for canopies, about her curled — fit emblems of the model of her world — seen but in beauty — not impeding sight of other beauty glittering thro’ the light — a wreath that twined each starry form around, and all the opal’d air in colour bound. all hurriedly she knelt upon a bed of flowers: of lilies such as rear the head on the fair capo deucato, and sprang so eagerly around about to hang upon the flying footsteps of —— deep pride — of her who lov’d a mortal — and so died — the sephalica, budding with young bees, uprear’d its purple stem around her knees — and gemmy flower, of trebizond misnamed — inmate of highest stars, where erst it sham’d all other loveliness: its honied dew [the fabled nectar that the heathen knew] deliriously sweet, was dropp’d from heaven, and fell on gardens of the unforgiven in trebizond — and on a sunny flower so like its own above that, to this hour,” it still remaineth torturing the bee with madness, and unwonted reverie — in heaven, and all its environs, the leaf and blossom of the fairy plant, in grief disconsolate linger — grief that hangs her head, repenting follies that full long have fled, heaving her white breast to the balmy air like guilty beauty, chasten’d, and more fair — nyctanthes too, as sacred as the light she fears to perfume, perfuming the night and clytia pondering between many a sun, while pettish tears adown her petals run — and that aspiring flower that sprang on earth — and died, ere scarce exalted into birth, bursting its odorous heart in spirit to wing its way to heaven, from garden of a king — and valisnerian lotus thither flown from struggling with the waters of the rhone — and thy most lovely purple perfume, zante! i sola d’oro! — fior di levante! — and the nelumbo bud that floats for ever with indian cupid down the holy river — fair flowers, and fairy! to whose care is given to bear the goddess’ song, in odours, up to heaven — “spirit! that dwellest where, in the deep sky, the terrible and fair, in beauty vie! beyond the line of blue — the boundary of the star which turneth at the view of thy barrier and thy bar — of the barrier overgone by the comets who were cast from their pride, and from their throne to be drudges till the last — to be carriers of fire [the red fire of their heart] with speed that may not tire and with pain that shall not part — who livest — that we know — in eternity — we feel — but the shadow of whose brow what spirit shall reveal? tho’ the beings whom thy nesace, thy messenger hath known have dream’d for thy infinity a model of their own — thy will is done, o! god! the star hath ridden high thro’ many a tempest, but she rode beneath thy burning eye and here, in thought, to thee — in thought that can alone ascend thy empire and so be a partner of thy throne by winged fantasy, my embassy is given till secrecy shall knowledge be in the environs of heaven.” she ceas’d — and buried then her burning cheek abash’d, amid the lilies there, to seek a shelter from the fervor of his eye for the stars trembled at the deity. she stirr’d not — breath’d not — for a voice was there how solemnly pervading the calm air a sound of silence on the startled ear which dreamy poets name “the music of the sphere.” ours is a world of words: quiet we call “silence” — which is the merest word of all — here nature speaks, and ev’n ideal things flap shadowy sounds from visionary wings — but ah! not so when, thus, in realms on high the eternal voice of god is passing by, and the red winds are withering in the sky! “what tho’ in worlds which sightless cycles run link’d to a little system, and one sun where all my love is folly and the crowd still think my terrors but the thunder cloud the storm, the earthquake, and the ocean-wrath — [ah! will they cross me in my angrier path?] what tho’ in worlds which own a single sun the sands of time grow dimmer as they run yet thine is my resplendency, so given to bear my secrets thro’ the upper heaven: leave tenantless thy chrystal home, and fly, with all thy train, athwart the moony sky — apart — like fire-flies in sicilian night, and wing to other worlds another light; divulge the secrets of thy embassy to the proud orbs that twinkle — and so be to ev’ry heart a barrier and a ban lest the stars totter in the guilt of man.” up rose the maiden in the yellow night, the single-mooned eve! on earth we plight our faith to one love — and one moon adore — the birth-place of young beauty had no more. as sprang that yellow star from downy hours up rose the maiden from her shrine of flowers, and bent o’er sheeny mountain and dim plain her way — but left not yet her therasæan reign.",1
"high on a mountain of enamell’d head — such as the drowsy shepherd on his bed of giant pasturage lying at his ease, raising his heavy eyelid, starts and sees with many a mutter’d “hope to be forgiven” what time the moon is quadrated in heaven — of rosy head that, towering far away into the sunlit ether, caught the ray of sunken suns at eve — at noon of night, while the moon danc’d with the fair stranger light — uprear’d upon such height arose a pile of gorgeous columns on th’ unburthen’d air, flashing from parian marble that twin smile far down upon the wave that sparkled there, and nursled the young mountain in its lair: of molten stars their pavement, such as fall thro’ the ebon air, besilvering the pall of their own dissolution, while they die — adorning then the dwellings of the sky: a dome, by linked light from heaven let down, sat gently on these columns as a crown — a window of one circular diamond, there, look’d out above into the purple air, and rays from god shot down that meteor chain and hallow’d all the beauty twice again, save when, between th’ empyrean and that ring, some eager spirit flapp’d his dusky wing: but on the pillars seraph eyes have seen the dimness of this world: that greyish green that nature loves the best for beauty’s grave lurk’d in each cornice, round each architrave — and ev’ry sculptur’d cherub thereabout that, from his marble dwelling ventur’d out seem’d earthly in the shallow of his niche — archaian statues in a world so rich? friezes from tadmor and persepolis — from balbec, and the stilly, clear abyss of beautiful gomorrah! o! the wave is now upon thee — but too late to save! — sound loves to revel near a summer night: witness the murmur of the grey twilight that stole upon the ear, in eyraco, of many a wild star-gazer long ago — that stealeth ever on the ear of him who, musing, gazeth on the distance dim, and sees the darkness coming as a cloud — is not its form — its voice — most palpable and loud? but what is this? — it cometh — and it brings a music with it — ’tis the rush of wings — a pause — and then a sweeping, falling strain and nesace is in her halls again: from the wild energy of wanton haste her cheek was flushing, and her lips apart; and zone that clung around her gentle waist had burst beneath the heaving of her heart: within the centre of that hall to breathe she paus’d and panted, zanthe! all beneath — the fairy light that kiss’d her golden hair and long’d to rest, yet could but sparkle there! young flowers were whispering in melody to happy flowers that night — and tree to tree; fountains were gushing music as they fell in many a star-lit grove, or moon-lit dell; yet silence came upon material things — fair flowers, bright waterfalls and angel wings — and sound alone that from the spirit sprang bore burthen to the charm the maiden sang. “ ’neath blue-bell or streamer — or tufted wild spray that keeps, from the dreamer, the moonbeam away — bright beings! that ponder, with half closing eyes, on the stars which your wonder hath drawn from the skies, till they glance thro’ the shade, and come down to your brow like —— eyes of the maiden who calls on you now — arise! from your dreaming in violet bowers, to duty beseeming these star-litten hours — and shake from your tresses encumber’d with dew the breath of those kisses that cumber them too — [o! how, without you, love! could angels be blest]? those kisses of true love that lull’d ye to rest: up! — shake from your wing each hindering thing: the dew of the night — it would weigh down your flight; and true love caresses — o! leave them apart, they are light on the tresses, but hang on the heart. ligeia! ligeia! my beautiful one! whose harshest idea will to melody run, o! is it thy will on the breezes to toss? or, capriciously still, like the lone albatross, incumbent on night [as she on the air] to keep watch with delight on the harmony there? ligeia! wherever thy image may be no magic shall sever thy music from thee: thou hast bound many eyes in a dreamy sleep — but the strains still arise which thy vigilance keep — the sound of the rain which leaps down to the flower, and dances again in the rhythm of the shower — the murmur that springs from the growing of grass are the music of things — but are modell’d, alas! — away, then my dearest, o! hie thee away to springs that lie clearest beneath the moon ray — to lone lake that smiles, in its dream of deep rest, at the many star-isles that enjewel its breast — where wild flowers, creeping, have mingled their shade, on its margin is sleeping full many a maid — some have left the cool glade, and have slept with the bee — arouse them my maiden, on moorland and lea — go! breathe on their slumber, all softly in ear, the musical number they slumber’d to hear — for what can awaken an angel so soon whose sleep hath been taken beneath the cold moon as the spell which no slumber of witchery may test, the rythmical number which lull’d him to rest?” spirits in wing, and angels to the view, a thousand seraphs burst th’ empyrean thro’, young dreams still hovering on their drowsy flight — seraphs in all but “knowledge,” the keen light that fell, refracted, thro’ thy bounds, afar o! death! from eye of god upon that star: sweet was that error — sweeter still that death — sweet was that error — ev’n with us the breath of science dims the mirror of our joy — to them ’twere the simoom, and would destroy — for what [to them] availeth it to know that truth is falsehood — or that bliss is woe? sweet was their death — with them to die was rife with the last extacy of satiate life — beyond that death no immortality — but sleep that pondereth and is not “to be” — and there — oh! may my weary spirit dwell — apart from heaven’s eternity — and yet how far from hell! what guilty spirit, in what shrubbery dim, heard not the stirring summons of that hymn? but two: they fell: for heaven no grace imparts to those who hear not for their beating hearts. a maiden-angel and her seraph-lover — o! where (and ye may seek the wide skies over) was love, the blind, near sober duty known? unguided love hath fallen — ‘mid “tears of perfect moan:” he was a goodly spirit — he who fell: a wanderer by mossy mantled well — a gazer on the lights that shine above — a dreamer in the moonbeam by his love: what wonder? for each star is eye-like there, and looks so sweetly down on beauty’s hair — and they, and ev’ry mossy spring were holy to his love haunted heart and melancholy. the night had found (to him a night of wo) upon a mountain crag, young angelo — beetling it bends athwart the solemn sky, and scowls on starry worlds that down beneath it lie. here sate he with his love — his dark eye bent with eagle gaze along the firmament: now turn’d it upon her — but ever then it trembled to one constant star again. “ianthe, dearest, see! how dim that ray! how lovely ’tis to look so far away! she seem’d not thus upon that autumn eve i left her gorgeous halls — nor mourn’d to leave: that eve — that eve — i should remember well — the sun-ray dropp’d, in lemnos, with a spell on th’ ‘arabesq’ carving of a gilded hall wherein i sate, and on the drapried wall — and on my eye lids — o! the heavy light! how drowsily it weigh’d them into night! on flowers, before, and mist, and love they ran with persian saadi in his gulistan: but o! that light! — i slumber’d — death, the while, stole o’er my senses in that lovely isle so softly that no single silken hair awoke that slept — or knew that it was there. the last spot of earth’s orb i trod upon was a proud temple call’d the parthenon — more beauty clung around her column’d wall than ev’n thy glowing bosom beats withal, and when old time my wing did disenthral thence sprang i — as the eagle from his tower, and years i left behind me in an hour. what time upon her airy bounds i hung one half the garden of her globe was flung unrolling as a chart unto my view — tenantless cities of the desert too! ianthe, beauty crowded on me then, and half i wish’d to be again of men. “my angelo! and why of them to be? a brighter dwelling-place is here for thee — and greener fields than in yon world above, and women’s loveliness — and passionate love. “but, list, ianthe! when the air so soft fail’d, as my pennon’d spirit leapt aloft, perhaps my brain grew dizzy — but the world i left so late was into chaos hurl’d — sprang from her station, on the winds apart, and roll’d, a flame, the fiery heaven athwart. methought, my sweet one, then i ceas’d to soar and fell — not swiftly as i rose before, but with a downward, tremulous motion thro’ light, brazen rays, this golden star unto! nor long the measure of my falling hours, for nearest of all stars was thine to ours — dread star! that came, amid a night of mirth, a red dædalion on the timid earth! “we came — and to thy earth — but not to us be given our lady’s bidding to discuss: we came, my love; around, above, below, gay fire-fly of the night we come and go, nor ask a reason save the angel-nod she grants to us, as granted by her god — but, angelo, than thine grey time unfurl’d never his fairy wing o’er fairier world! dim was its little disk, and angel eyes alone could see the phantom in the skies, when first al aaraaf knew her course to be headlong thitherward o’er the starry sea — but when its glory swell’d upon the sky, as glowing beauty’s bust beneath man’s eye, we paus’d before the heritage of men, and thy star trembled — as doth beauty then!” thus, in discourse, the lovers whiled away the night that waned and waned and brought no day they fell: for heaven to them no hope imparts who hear not for the beating of their hearts.",1
"from childhood’s hour i have not been as others were — i have not seen as others saw — i could not bring my passions from a common spring — from the same source i have not taken my sorrow — i could not awaken my heart to joy at the same tone — and all i lov’d — i lov’d alone — then — in my childhood — in the dawn of a most stormy life — was drawn from ev’ry depth of good and ill the mystery which binds me still — from the torrent, or the fountain — from the red cliff of the mountain — from the sun that ’round me roll’d in its autumn tint of gold — from the lightning in the sky as it pass’d me flying by — from the thunder, and the storm — and the cloud that took the form (when the rest of heaven was blue) of a demon in my view —",1
"elizabeth it is in vain you say “love not” — thou sayest it in so sweet a way: in vain those words from thee or l. e. l. zantippe’s talents had enforced so well: ah! if that language from thy heart arise, breathe it less gently forth — and veil thine eyes. endymion, recollect, when luna tried to cure his love — was cured of all beside — his folly — pride — and passion — for he died.",1
"it was many and many a year ago, in a kingdom by the sea, that a maiden there lived whom you may know by the name of annabel lee; — and this maiden she lived with no other thought than to love and be loved by me. i was a child and she was a child, in this kingdom by the sea; but we loved with a love that was more than love — i and my annabel lee — with a love that the wingéd seraphs in heaven coveted her and me. and this was the reason that, long ago, in this kingdom by the sea, a wind blew out of a cloud, chilling my beautiful annabel lee; so that her high-born kinsmen came and bore her away from me, to shut her up in a sepulchre, in this kingdom by the sea. the angels, not half so happy in heaven, went envying her and me — yes! — that was the reason (as all men know, in this kingdom by the sea) that the wind came out of the cloud by night, chilling and killing my annabel lee. but our love it was stronger by far than the love of those who were older than we — of many far wiser than we — and neither the angels in heaven above, nor the demons down under the sea, can ever dissever my soul from the soul of the beautiful annabel lee: — for the moon never beams, without bringing me dreams of the beautiful annabel lee; and the stars never rise, but i feel the bright eyes of the beautiful annabel lee: — and so, all the night-tide, i lie down by the side of my darling — my darling — my life and my bride, in her sepulchre there by the sea — in her tomb by the sounding sea.",1
"hear the sledges with the bells — silver bells! what a world of merriment their melody foretells! how they tinkle, tinkle, tinkle, in the icy air of night! while the stars that oversprinkle all the heavens, seem to twinkle with a crystalline delight; keeping time, time, time, in a sort of runic rhyme, to the tintinnabulation that so musically wells from the bells, bells, bells, bells, bells, bells, bells — from the jingling and the tinkling of the bells.",1
"hear the mellow wedding-bells golden bells! what a world of happiness their harmony foretells! through the balmy air of night how they ring out their delight! — from the molten-golden notes, and all in tune, what a liquid ditty floats to the turtle-dove that listens, while she gloats on the moon! oh, from out the sounding cells, what a gush of euphony voluminously wells! how it swells! how it dwells on the future! — how it tells of the rapture that impels to the swinging and the ringing of the bells, bells, bells — of the bells, bells, bells, bells, bells, bells, bells — to the rhyming and the chiming of the bells!",1
"hear the loud alarum bells — brazen bells! what a tale of terror, now, their turbulency tells! in the startled ear of night how they scream out their affright! too much horrified to speak, they can only shriek, shriek, out of tune, in a clamorous appealing to the mercy of the fire, in a mad expostulation with the deaf and frantic fire, leaping higher, higher, higher, with a desperate desire, and a resolute endeavor now — now to sit, or never, by the side of the pale-faced moon. oh, the bells, bells, bells! what a tale their terror tells of despair! how they clang, and clash, and roar! what a horror they outpour on the bosom of the palpitating air! yet the ear, it fully knows, by the twanging and the clanging, how the danger ebbs and flows; yet [[yes]], the ear distinctly tells, in the jangling and the wrangling, how the danger sinks and swells, by the sinking or the swelling in the anger of the bells — of the bells — of the bells, bells, bells, bells, bells, bells, bells — in the clamour and the clangour of the bells!",1
"hear the tolling of the bells — iron bells! what a world of solemn thought their monody compels! in the silence of the night, how we shiver with affright at the melancholy menace of their tone! for every sound that floats from the rust within their throats is a groan. and the people — ah, the people — they that dwell up in the steeple, all alone, and who, tolling, tolling, tolling, in that muffled monotone, feel a glory in so rolling on the human heart a stone — they are neither man nor woman — they are neither brute nor human — they are ghouls: — and their king it is who tolls: — and he rolls, rolls, rolls, rolls, rolls a pæan from the bells! and his merry bosom swells with the pæan of the bells! and he dances, and he yells; keeping time, time, time, in a sort of runic rhyme, to the pæan of the bells — of the bells: — keeping time, time, time, in a sort of runic rhyme, to the throbbing of the bells — of the bells, bells, bells — to the sobbing of the bells: — keeping time, time, time, as he knells, knells, knells, in a happy runic rhyme, to the rolling of the bells — of the bells, bells, bells: — to the tolling of the bells — of the bells, bells, bells, bells, bells, bells, bells — to the moaning and the groaning of the bells.",1
